Bezoldiging voor uitzonderlijke werkzaamheden of bijzondere opdrachten uitgevoerd,,,
binnen de vennootschap door personen met wie de commissaris(sen) verbonden is (zijn),,,
Andere controleopdrachten,95081,,
Belastingadviesopdrachten,95082,,
Andere opdrachten buiten de revisorale opdrachten,95083,,
Nr.,BE 0478.065.191,VOL-kap 6.18.1
Nr.,BE 0478.065.191,VOL-kap 6.19
Nr.,BE 0478.065.191,VOL-kap 10
Tijdens het boekjaar,Codes,Totaal,,1.,Mannen,,2.,Vrouwen
Gemiddeld aantal werknemers,,,,,,,,
Voltijds,1001,,"39,6",,,"16,9",,"22,7"
Deeltijds,1002,,"12,3",,,2,,"10,3"
Totaal in voltijdse equivalenten (VTE),1003,,"49,5",,,"18,6",,"30,9"
Aantal daadwerkelijk gepresteerde uren,,,,,,,,
Voltijds,1011,,62.610,,,29.369,,33.241
Deeltijds,1012,,14.286,,,2.910,,11.376
Totaal,1013,,76.896,,,32.279,,44.617
Personeelskosten,,,,,,,,
Voltijds,1021,,2.646.602,,,1.129.484,,1.517.118
Deeltijds,1022,,661.650,,,106.933,,554.717
Totaal,1023,,3.308.252,,,1.236.417,,2.071.835
Bedrag van de voordelen bovenop het loon,1033,,,,,,,
Tijdens het vorige boekjaar,,,,,,,,
"",Codes,P.,Totaal,,1P.,Mannen,,2P. Vrouwen
Gemiddeld aantal werknemers in VTE,1003,,,"53,6",,,"17,1","36,5"
Aantal daadwerkelijk gepresteerde uren,1013,,,84.401,,,29.735,54.666
Personeelskosten,1023,,,3.524.952,,,1.114.700,2.410.252
Bedrag van de voordelen bovenop het loon,1033,,,,,,,
Nr.,BE 0478.065.191,VOL-kap 10
Op de afsluitingsdatum van het boekjaar,Codes,1.,Voltijds,,2.,Deeltijds,,3.,Totaal in
"",,,,,,,,,voltijdse
"",,,,,,,,,equivalenten
Aantal werknemers,105,,,38,,,14,,"49,1"
Volgens de aard van de arbeidsovereenkomst,,,,,,,,,
Overeenkomst voor een onbepaalde tijd,110,,,37,,,13,,"47,6"
Overeenkomst voor een bepaalde tijd,111,,,1,,,1,,"1,5"
Overeenkomst voor een duidelijk omschreven werk,112,,,,,,,,
Vervangingsovereenkomst,113,,,,,,,,
Volgens het geslacht en het studieniveau,,,,,,,,,
Mannen,120,,,17,,,2,,"18,7"
lager onderwijs,1200,,,1,,,,,1
secundair onderwijs,1201,,,5,,,2,,"6,7"
hoger niet-universitair onderwijs,1202,,,9,,,,,9
universitair onderwijs,1203,,,2,,,,,2
Vrouwen,121,,,21,,,12,,"30,4"
lager onderwijs,1210,,,,,,,,
secundair onderwijs,1211,,,4,,,7,,"9,5"
hoger niet-universitair onderwijs,1212,,,8,,,5,,"11,9"
universitair onderwijs,1213,,,9,,,,,9
Volgens de beroepscategorie,,,,,,,,,
Directiepersoneel,130,,,,,,,,
Bedienden,134,,,38,,,14,,"49,1"
Arbeiders,132,,,,,,,,
Andere,133,,,,,,,,
"",Codes,1.,Uitzendkrachten,,2.,Ter beschikking
Tijdens het boekjaar,,,,,,van de
"",,,,,,vennootschap
"",,,,,,gestelde personen
Gemiddeld aantal tewerkgestelde personen,150,,,"0,1",,
Aantal daadwerkelijk gepresteerde uren,151,,,171,,
Kosten voor de vennootschap,152,,,22.167,,
Nr.,BE 0478.065.191,VOL-kap 10
INGETREDEN,Codes,1.,Voltijds,,2.,Deeltijds,,3.,Totaal in
"",,,,,,,,,voltijdse
"",,,,,,,,,equivalenten
Aantal werknemers waarvoor de vennootschap tijdens,,,,,,,,,
het boekjaar een DIMONA-verklaring heeft ingediend,,,,,,,,,
of die tijdens het boekjaar werden ingeschreven in het,,,,,,,,,
algemeen personeelsregister,205,,,27,,,2,,"28,4"
Volgens de aard van de arbeidsovereenkomst,,,,,,,,,
Overeenkomst voor een onbepaalde tijd,210,,,10,,,,,10
Overeenkomst voor een bepaalde tijd,211,,,17,,,2,,"18,4"
Overeenkomst voor een duidelijk omschreven werk,212,,,,,,,,
Vervangingsovereenkomst,213,,,,,,,,
het boekjaar een einde nam,305,30,4,"33,5"
Volgens de aard van de arbeidsovereenkomst,,,,
Overeenkomst voor een onbepaalde tijd,310,12,3,"14,6"
Overeenkomst voor een bepaalde tijd,311,18,1,"18,9"
Overeenkomst voor een duidelijk omschreven werk,312,,,
Vervangingsovereenkomst,313,,,
Volgens de reden van beëindiging van de overeenkomst,,,,
Pensioen,340,,,
Werkloosheid met bedrijfstoeslag,341,,,
Afdanking,342,,,
Andere reden,343,30,4,"33,5"
Nr.,BE 0478.065.191,VOL-kap 10
"",Codes,Mannen,Codes,Vrouwen
Totaal van de formele voortgezette beroepsopleidingsinitiatieven ten,,,,
laste van de werkgever,,,,
Aantal betrokken werknemers,5801,,5811,
Aantal gevolgde opleidingsuren,5802,,5812,
Nettokosten voor de vennootschap,5803,,5813,
waarvan brutokosten rechtstreeks verbonden met de opleiding,58031,,58131,
waarvan betaalde bijdragen en stortingen aan collectieve fondsen,58032,,58132,
waarvan ontvangen tegemoetkomingen (in mindering),58033,,58133,
Totaal van de minder formele en informele voortgezette,,,,
beroepsopleidingsinitiatieven ten laste van de werkgever,,,,
Aantal betrokken werknemers,5821,,5831,
Aantal gevolgde opleidingsuren,5822,,5832,
Nettokosten voor de vennootschap,5823,,5833,
Totaal van de initiële beroepsopleidingsinitiatieven ten laste van de,,,,
werkgever,,,,
Aantal betrokken werknemers,5841,,5851,
Aantal gevolgde opleidingsuren,5842,,5852,
Nettokosten voor de vennootschap,5843,,5853,
